Countingsort - DecreasingSliceOutput
,Size,Swaps,Comparisons,Time,AddlMemory(B)
1,10,0,0,399ns,208
2,100,0,0,2.857µs,1648
3,1000,0,0,20.614µs,16048
4,10000,0,0,168.781µs,160048
5,100000,0,0,1.193818ms,1600048
6,1000000,0,0,17.263328ms,16000048
7,10000000,0,0,123.492438ms,160000048
