Countingsort - AlmostSortedSliceOutput
,Size,Swaps,Comparisons,Time,AddlMemory(B)
1,10,0,0,12.608µs,7576
2,100,0,0,6.302µs,8560
3,1000,0,0,14.721µs,16032
4,10000,0,0,168.307µs,120048
5,100000,0,0,1.239059ms,1200048
6,1000000,0,0,13.789453ms,12000048
7,10000000,0,0,151.532957ms,120000048
