Countingsort - HalfSortedSliceOutput
,Size,Swaps,Comparisons,Time,AddlMemory(B)
1,10,0,0,8.419µs,6432
2,100,0,0,8.336µs,8816
3,1000,0,0,19.868µs,16040
4,10000,0,0,167.447µs,120048
5,100000,0,0,1.945761ms,1200048
6,1000000,0,0,18.070324ms,12000048
7,10000000,0,0,142.42335ms,120000048
