Countingsort - IncreasingSliceOutput
,Size,Swaps,Comparisons,Time,AddlMemory(B)
1,10,0,0,519ns,208
2,100,0,0,812ns,1648
3,1000,0,0,16.489µs,16048
4,10000,0,0,171.393µs,160048
5,100000,0,0,2.534002ms,1600048
6,1000000,0,0,18.535863ms,16000048
7,10000000,0,0,131.000162ms,160000048
