Pancakesort - DecreasingSliceOutput
,Size,Swaps,Comparisons,Time,AddlMemory(B)
1,10,5,0,451ns,0
2,100,50,0,10.7µs,0
3,1000,500,0,828.426µs,0
4,10000,5000,0,83.658658ms,0
